Longitude	Latitude	Mean_HF	Median_HF	Total_Erro
45	-81	65	65	41.5
47	-81	65	65	41.5
49	-81	65	65	41.5
51	-81	65	65	41.5
53	-81	65	65	41.5
55	-81	65	65	41.5
57	-81	65	65	41.5
59	-81	65	65	41.5
61	-81	65	65	41.5
63	-81	65	65	41.5
65	-81	65	65	41.5
67	-81	65	65	41.5
69	-81	65	65	41.5
71	-81	65	65	41.5
73	-81	65	65	41.5
75	-81	65	65	41.5
77	-81	65	65	41.5
79	-81	65	65	41.5
81	-81	65	65	41.5
83	-81	65	65	41.5
85	-81	65	65	41.5
87	-81	65	65	41.5
89	-81	65	65	41.5
91	-81	65	65	41.5
93	-81	65	65	41.5
95	-81	65	65	41.5
97	-81	65	65	41.5
99	-81	65	65	41.5
101	-81	65	65	41.5
103	-81	65	65	41.5
105	-81	65	65	41.5
107	-81	65	65	41.5
109	-81	65	65	41.5
111	-81	65	65	41.5
113	-81	65	65	41.5
115	-81	65	65	41.5
117	-81	65	65	41.5
119	-81	65	65	41.5
121	-81	65	65	41.5
123	-81	65	65	41.5
125	-81	65	65	41.5
127	-81	65	65	41.5
129	-81	65	65	41.5
131	-81	65	65	41.5
133	-81	65	65	41.5
135	-81	65	65	41.5
137	-81	65	65	41.5
139	-81	65	65	41.5
141	-81	65	65	41.5
143	-81	65	65	41.5
145	-81	65	65	41.5
147	-81	65	65	41.5
149	-81	65	65	41.5
151	-81	65	65	41.5
153	-81	65	65	41.5
155	-81	65	65	41.5
157	-81	65	65	41.5
159	-81	65	65	41.5
161	-81	65	65	41.5
163	-81	65	65	41.5
165	-81	65	65	41.5
167	-81	65	65	41.5
169	-81	65	65	41.5
171	-81	65	65	41.5
173	-81	65	65	41.5
175	-81	65	65	41.5
177	-81	65	65	41.5
179	-81	65	65	41.5
-179	-79	100	100	41.5
-177	-79	100	100	41.5
-175	-79	100	100	41.5
-173	-79	100	100	41.5
-171	-79	100	100	41.5
-169	-79	100	100	41.5
-167	-79	100	100	41.5
-165	-79	100	100	41.5
-163	-79	100	100	41.5
-161	-79	100	100	41.5
-159	-79	100	100	41.5
-157	-79	100	100	41.5
-155	-79	100	100	41.5
-153	-79	100	100	41.5
-151	-79	100	100	41.5
-149	-79	100	100	41.5
-147	-79	100	100	41.5
-145	-79	100	100	41.5
-143	-79	100	100	41.5
-141	-79	100	100	41.5
-139	-79	100	100	41.5
-137	-79	100	100	41.5
-135	-79	100	100	41.5
-133	-79	100	100	41.5
-131	-79	100	100	41.5
-129	-79	100	100	41.5
-127	-79	100	100	41.5
-125	-79	100	100	41.5
-123	-79	100	100	41.5
-121	-79	100	100	41.5
-119	-79	100	100	41.5
-117	-79	100	100	41.5
-115	-79	100	100	41.5
-113	-79	100	100	41.5
-111	-79	100	100	41.5
-109	-79	100	100	41.5
-107	-79	100	100	41.5
-105	-79	100	100	41.5
-103	-79	100	100	41.5
-101	-79	100	100	41.5
-99	-79	100	100	41.5
-97	-79	100	100	41.5
-95	-79	100	100	41.5
-93	-79	100	100	41.5
-91	-79	100	100	41.5
-89	-79	100	100	41.5
-87	-79	100	100	41.5
-85	-79	100	100	41.5
-83	-79	100	100	41.5
-81	-79	100	100	41.5
-79	-79	100	100	41.5
-77	-79	100	100	41.5
-75	-79	100	100	41.5
-73	-79	100	100	41.5
-71	-79	100	100	41.5
-69	-79	100	100	41.5
-67	-79	100	100	41.5
-65	-79	100	100	41.5
-63	-79	100	100	41.5
-61	-79	100	100	41.5
-59	-79	100	100	41.5
-57	-79	100	100	41.5
-55	-79	100	100	41.5
-53	-79	100	100	41.5
-51	-79	65	65	41.5
-49	-79	65	65	41.5
-47	-79	65	65	41.5
-45	-79	65	65	41.5
-43	-79	65	65	41.5
-41	-79	65	65	41.5
-39	-79	65	65	41.5
-37	-79	65	65	41.5
-35	-79	65	65	41.5
-33	-79	65	65	41.5
-31	-79	65	65	41.5
-29	-79	65	65	41.5
-27	-79	65	65	41.5
-25	-79	65	65	41.5
-23	-79	65	65	41.5
-21	-79	65	65	41.5
-19	-79	65	65	41.5
-17	-79	65	65	41.5
-15	-79	65	65	41.5
-13	-79	65	65	41.5
-11	-79	65	65	41.5
-9	-79	65	65	41.5
-7	-79	65	65	41.5
-5	-79	65	65	41.5
-3	-79	65	65	41.5
-1	-79	65	65	41.5
1	-79	65	65	41.5
3	-79	65	65	41.5
5	-79	65	65	41.5
7	-79	65	65	41.5
9	-79	65	65	41.5
11	-79	65	65	41.5
13	-79	65	65	41.5
15	-79	65	65	41.5
17	-79	65	65	41.5
19	-79	65	65	41.5
21	-79	65	65	41.5
23	-79	65	65	41.5
25	-79	65	65	41.5
27	-79	65	65	41.5
29	-79	65	65	41.5
31	-79	65	65	41.5
33	-79	65	65	41.5
35	-79	65	65	41.5
37	-79	65	65	41.5
39	-79	65	65	41.5
41	-79	65	65	41.5
43	-79	65	65	41.5
45	-79	65	65	41.5
47	-79	65	65	41.5
49	-79	65	65	41.5
51	-79	65	65	41.5
53	-79	65	65	41.5
55	-79	65	65	41.5
57	-79	65	65	41.5
59	-79	65	65	41.5
61	-79	65	65	41.5
